opening_date(kor),closing_date(kor),opening_price,closing_price,high_price,low_price,trade_price,trade_volume
2019-02-28 23:00,2019-03-01 0:00,4250000,4250000,4259000,4249000,4249000,172.1763688
2019-03-01 0:00,2019-03-01 1:00,4250000,4278000,4321000,4201000,4278000,683.289488
2019-03-01 1:00,2019-03-01 2:00,4278000,4265000,4301000,4251000,4265000,196.1526489
2019-03-01 2:00,2019-03-01 3:00,4265000,4244000,4265000,4228000,4244000,123.2980111
2019-03-01 3:00,2019-03-01 4:00,4244000,4253000,4256000,4230000,4253000,77.77865634
2019-03-01 4:00,2019-03-01 5:00,4253000,4243000,4262000,4233000,4249000,101.0196401
2019-03-01 5:00,2019-03-01 6:00,4243000,4243000,4249000,4234000,4241000,66.82212757
2019-03-01 6:00,2019-03-01 7:00,4243000,4249000,4252000,4241000,4249000,64.05163292
2019-03-01 7:00,2019-03-01 8:00,4249000,4241000,4249000,4223000,4242000,66.40753189
2019-03-01 8:00,2019-03-01 9:00,4241000,4240000,4250000,4236000,4240000,69.5265119
2019-03-01 9:00,2019-03-01 10:00,4240000,4252000,4254000,4238000,4252000,190.1253743
2019-03-01 10:00,2019-03-01 11:00,4252000,4250000,4253000,4244000,4250000,143.8030091
2019-03-01 11:00,2019-03-01 12:00,4250000,4247000,4252000,4243000,4246000,173.427414
2019-03-01 12:00,2019-03-01 13:00,4247000,4247000,4255000,4245000,4246000,204.7615196
2019-03-01 13:00,2019-03-01 14:00,4247000,4238000,4248000,4237000,4238000,148.6227481
2019-03-01 14:00,2019-03-01 15:00,4238000,4239000,4241000,4235000,4239000,129.8488801
2019-03-01 15:00,2019-03-01 16:00,4239000,4237000,4246000,4235000,4236000,163.221733
2019-03-01 16:00,2019-03-01 17:00,4237000,4250000,4254000,4235000,4251000,251.0420547
2019-03-01 17:00,2019-03-01 18:00,4250000,4247000,4255000,4246000,4247000,146.881669
2019-03-01 18:00,2019-03-01 19:00,4247000,4249000,4265000,4246000,4249000,263.6898624
2019-03-01 19:00,2019-03-01 20:00,4249000,4250000,4253000,4243000,4250000,124.5063169
2019-03-01 20:00,2019-03-01 21:00,4250000,4249000,4251000,4239000,4249000,136.1735193
2019-03-01 21:00,2019-03-01 22:00,4249000,4245000,4252000,4241000,4245000,153.4891281
2019-03-01 22:00,2019-03-01 23:00,4245000,4250000,4253000,4244000,4249000,150.7942047
2019-03-01 23:00,2019-03-02 0:00,4250000,4248000,4255000,4245000,4252000,104.398205
2019-03-02 0:00,2019-03-02 1:00,4248000,4245000,4253000,4243000,4247000,106.5097185
2019-03-02 1:00,2019-03-02 2:00,4245000,4249000,4261000,4244000,4248000,137.2369962
2019-03-02 2:00,2019-03-02 3:00,4249000,4255000,4262000,4247000,4255000,111.3291263
